"Label (Grouping)","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","7.7%","9.0%","33.7%","22.5%","8.6%","12.4%","6.1%","83.3%","18.5%"
"    Males","","","","","","","","","",""
"        Estimate","86,736","7,942","8,453","31,188","18,023","6,472","9,863","4,795","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","9.2%","9.7%","36.0%","20.8%","7.5%","11.4%","5.5%","81.1%","16.9%"
"    Females","","","","","","","","","",""
"        Estimate","82,189","5,137","6,686","25,777","19,936","8,035","11,159","5,459","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.3%","8.1%","31.4%","24.3%","9.8%","13.6%","6.6%","85.6%","20.2%"
"Johnson County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","106,686","5,667","9,733","40,079","24,668","5,697","16,056","4,786","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.3%","9.1%","37.6%","23.1%","5.3%","15.0%","4.5%","85.6%","19.5%"
"    Males","","","","","","","","","",""
"        Estimate","52,043","3,123","5,575","19,780","10,921","2,400","7,604","2,640","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","6.0%","10.7%","38.0%","21.0%","4.6%","14.6%","5.1%","83.3%","19.7%"
"    Females","","","","","","","","","",""
"        Estimate","54,643","2,544","4,158","20,299","13,747","3,297","8,452","2,146","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.7%","7.6%","37.1%","25.2%","6.0%","15.5%","3.9%","87.7%","19.4%"
"Kaufman County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","76,218","5,340","5,371","27,916","16,680","6,157","9,738","5,016","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","7.0%","7.0%","36.6%","21.9%","8.1%","12.8%","6.6%","85.9%","19.4%"
"    Males","","","","","","","","","",""
"        Estimate","36,817","2,756","2,632","13,700","8,475","2,113","4,777","2,364","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","7.5%","7.1%","37.2%","23.0%","5.7%","13.0%","6.4%","85.4%","19.4%"
"    Females","","","","","","","","","",""
"        Estimate","39,401","2,584","2,739","14,216","8,205","4,044","4,961","2,652","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.6%","7.0%","36.1%","20.8%","10.3%","12.6%","6.7%","86.5%","19.3%"
"Liberty County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","53,961","5,161","7,752","21,829","10,556","3,773","3,722","1,168","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","9.6%","14.4%","40.5%","19.6%","7.0%","6.9%","2.2%","76.1%","9.1%"
"    Males","","","","","","","","","",""
"        Estimate","26,321","2,445","3,240","12,493","3,836","1,789","1,890","628","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","9.3%","12.3%","47.5%","14.6%","6.8%","7.2%","2.4%","78.4%","9.6%"
"    Females","","","","","","","","","",""
"        Estimate","27,640","2,716","4,512","9,336","6,720","1,984","1,832","540","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","9.8%","16.3%","33.8%","24.3%","7.2%","6.6%","2.0%","73.8%","8.6%"
"Lubbock County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","178,621","10,848","14,974","44,018","43,720","9,839","34,850","20,372","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.1%","8.4%","24.6%","24.5%","5.5%","19.5%","11.4%","85.5%","30.9%"
"    Males","","","","","","","","","",""
"        Estimate","86,018","5,943","5,821","22,439","21,135","4,319","16,464","9,897","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","6.9%","6.8%","26.1%","24.6%","5.0%","19.1%","11.5%","86.3%","30.6%"
"    Females","","","","","","","","","",""
"        Estimate","92,603","4,905","9,153","21,579","22,585","5,520","18,386","10,475","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","5.3%","9.9%","23.3%","24.4%","6.0%","19.9%","11.3%","84.8%","31.2%"
"McLennan County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","149,696","10,066","15,462","43,577","34,127","13,844","20,237","12,383","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.7%","10.3%","29.1%","22.8%","9.2%","13.5%","8.3%","82.9%","21.8%"
"    Males","","","","","","","","","",""
"        Estimate","70,779","4,007","8,159","22,179","14,055","6,416","9,989","5,974","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.7%","11.5%","31.3%","19.9%","9.1%","14.1%","8.4%","82.8%","22.6%"
"    Females","","","","","","","","","",""
"        Estimate","78,917","6,059","7,303","21,398","20,072","7,428","10,248","6,409","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","7.7%","9.3%","27.1%","25.4%","9.4%","13.0%","8.1%","83.1%","21.1%"
"Midland County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","101,188","7,309","9,202","27,689","21,595","8,563","19,655","7,175","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","7.2%","9.1%","27.4%","21.3%","8.5%","19.4%","7.1%","83.7%","26.5%"
"    Males","","","","","","","","","",""
"        Estimate","49,989","4,576","5,040","12,402","10,279","3,873","9,801","4,018","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","9.2%","10.1%","24.8%","20.6%","7.7%","19.6%","8.0%","80.8%","27.6%"
"    Females","","","","","","","","","",""
"        Estimate","51,199","2,733","4,162","15,287","11,316","4,690","9,854","3,157","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","5.3%","8.1%","29.9%","22.1%","9.2%","19.2%","6.2%","86.5%","25.4%"
"Montgomery County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","361,549","16,847","30,061","85,473","79,845","28,400","76,700","44,223","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.7%","8.3%","23.6%","22.1%","7.9%","21.2%","12.2%","87.0%","33.4%"
"    Males","","","","","","","","","",""
"        Estimate","175,796","8,882","12,935","41,901","39,036","10,320","39,429","23,293","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.1%","7.4%","23.8%","22.2%","5.9%","22.4%","13.3%","87.6%","35.7%"
"    Females","","","","","","","","","",""
"        Estimate","185,753","7,965","17,126","43,572","40,809","18,080","37,271","20,930","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.3%","9.2%","23.5%","22.0%","9.7%","20.1%","11.3%","86.5%","31.3%"
"Nacogdoches County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","36,960","2,281","5,393","9,178","8,575","2,006","6,410","3,117","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.2%","14.6%","24.8%","23.2%","5.4%","17.3%","8.4%","79.2%","25.8%"
"    Males","","","","","","","","","",""
"        Estimate","17,716","1,054","2,509","4,199","3,805","1,172","3,821","1,156","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.9%","14.2%","23.7%","21.5%","6.6%","21.6%","6.5%","79.9%","28.1%"
"    Females","","","","","","","","","",""
"        Estimate","19,244","1,227","2,884","4,979","4,770","834","2,589","1,961","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.4%","15.0%","25.9%","24.8%","4.3%","13.5%","10.2%","78.6%","23.6%"
"Nueces County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","233,620","16,063","23,482","65,369","58,582","18,541","33,542","18,041","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.9%","10.1%","28.0%","25.1%","7.9%","14.4%","7.7%","83.1%","22.1%"
"    Males","","","","","","","","","",""
"        Estimate","113,110","7,896","11,515","32,061","29,277","7,539","17,115","7,707","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","7.0%","10.2%","28.3%","25.9%","6.7%","15.1%","6.8%","82.8%","21.9%"
"    Females","","","","","","","","","",""
"        Estimate","120,510","8,167","11,967","33,308","29,305","11,002","16,427","10,334","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.8%","9.9%","27.6%","24.3%","9.1%","13.6%","8.6%","83.3%","22.2%"
"Orange County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","56,658","2,126","4,433","22,395","13,918","5,003","6,853","1,930","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.8%","7.8%","39.5%","24.6%","8.8%","12.1%","3.4%","88.4%","15.5%"
"    Males","","","","","","","","","",""
"        Estimate","26,747","870","2,142","11,064","6,809","2,114","2,925","823","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.3%","8.0%","41.4%","25.5%","7.9%","10.9%","3.1%","88.7%","14.0%"
"    Females","","","","","","","","","",""
"        Estimate","29,911","1,256","2,291","11,331","7,109","2,889","3,928","1,107","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.2%","7.7%","37.9%","23.8%","9.7%","13.1%","3.7%","88.1%","16.8%"
"Parker County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","87,198","3,921","6,368","27,335","23,461","7,047","12,799","6,267","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.5%","7.3%","31.3%","26.9%","8.1%","14.7%","7.2%","88.2%","21.9%"
"    Males","","","","","","","","","",""
"        Estimate","42,658","2,643","2,952","13,345","12,251","2,659","5,710","3,098","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","6.2%","6.9%","31.3%","28.7%","6.2%","13.4%","7.3%","86.9%","20.6%"
"    Females","","","","","","","","","",""
"        Estimate","44,540","1,278","3,416","13,990","11,210","4,388","7,089","3,169","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.9%","7.7%","31.4%","25.2%","9.9%","15.9%","7.1%","89.5%","23.0%"
"Potter County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","76,399","8,490","10,083","24,537","16,833","5,173","7,601","3,682","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","11.1%","13.2%","32.1%","22.0%","6.8%","9.9%","4.8%","75.7%","14.8%"
"    Males","","","","","","","","","",""
"        Estimate","39,053","4,202","4,859","14,075","9,001","2,590","2,524","1,802","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","10.8%","12.4%","36.0%","23.0%","6.6%","6.5%","4.6%","76.8%","11.1%"
"    Females","","","","","","","","","",""
"        Estimate","37,346","4,288","5,224","10,462","7,832","2,583","5,077","1,880","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","11.5%","14.0%","28.0%","21.0%","6.9%","13.6%","5.0%","74.5%","18.6%"
"Randall County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","86,683","2,103","6,223","16,860","23,764","10,315","18,212","9,206","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.4%","7.2%","19.5%","27.4%","11.9%","21.0%","10.6%","90.4%","31.6%"
"    Males","","","","","","","","","",""
"        Estimate","41,765","855","3,035","9,146","11,258","4,848","8,422","4,201","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.0%","7.3%","21.9%","27.0%","11.6%","20.2%","10.1%","90.7%","30.2%"
"    Females","","","","","","","","","",""
"        Estimate","44,918","1,248","3,188","7,714","12,506","5,467","9,790","5,005","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.8%","7.1%","17.2%","27.8%","12.2%","21.8%","11.1%","90.1%","32.9%"
"Rockwall County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","60,013","2,459","2,431","11,993","13,566","5,413","15,136","9,015","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.1%","4.1%","20.0%","22.6%","9.0%","25.2%","15.0%","91.9%","40.2%"
"    Males","","","","","","","","","",""
"        Estimate","28,012","1,576","1,290","4,817","5,417","2,709","7,874","4,329","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.6%","4.6%","17.2%","19.3%","9.7%","28.1%","15.5%","89.8%","43.6%"
"    Females","","","","","","","","","",""
"        Estimate","32,001","883","1,141","7,176","8,149","2,704","7,262","4,686","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.8%","3.6%","22.4%","25.5%","8.4%","22.7%","14.6%","93.7%","37.3%"
"San Patricio County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","42,902","3,935","5,015","12,709","11,985","2,997","4,699","1,562","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","9.2%","11.7%","29.6%","27.9%","7.0%","11.0%","3.6%","79.1%","14.6%"
"    Males","","","","","","","","","",""
"        Estimate","21,227","2,200","2,802","6,731","5,894","1,118","1,721","761","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","10.4%","13.2%","31.7%","27.8%","5.3%","8.1%","3.6%","76.4%","11.7%"
"    Females","","","","","","","","","",""
"        Estimate","21,675","1,735","2,213","5,978","6,091","1,879","2,978","801","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","8.0%","10.2%","27.6%","28.1%","8.7%","13.7%","3.7%","81.8%","17.4%"
"Smith County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","147,441","9,486","11,593","35,013","40,205","14,470","25,637","11,037","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.4%","7.9%","23.7%","27.3%","9.8%","17.4%","7.5%","85.7%","24.9%"
"    Males","","","","","","","","","",""
"        Estimate","69,403","4,688","5,226","17,250","18,274","6,678","11,474","5,813","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","6.8%","7.5%","24.9%","26.3%","9.6%","16.5%","8.4%","85.7%","24.9%"
"    Females","","","","","","","","","",""
"        Estimate","78,038","4,798","6,367","17,763","21,931","7,792","14,163","5,224","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.1%","8.2%","22.8%","28.1%","10.0%","18.1%","6.7%","85.7%","24.8%"
"Tarrant County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","1,288,602","89,469","99,460","317,859","290,199","95,695","262,956","132,964","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.9%","7.7%","24.7%","22.5%","7.4%","20.4%","10.3%","85.3%","30.7%"
"    Males","","","","","","","","","",""
"        Estimate","616,338","45,057","49,756","155,122","136,690","40,482","121,974","67,257","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","7.3%","8.1%","25.2%","22.2%","6.6%","19.8%","10.9%","84.6%","30.7%"
"    Females","","","","","","","","","",""
"        Estimate","672,264","44,412","49,704","162,737","153,509","55,213","140,982","65,707","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.6%","7.4%","24.2%","22.8%","8.2%","21.0%","9.8%","86.0%","30.7%"
"Taylor County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","84,075","4,293","5,237","30,230","19,515","5,851","12,749","6,200","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.1%","6.2%","36.0%","23.2%","7.0%","15.2%","7.4%","88.7%","22.5%"
"    Males","","","","","","","","","",""
"        Estimate","40,015","2,126","1,716","15,757","8,622","2,844","5,544","3,406","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.3%","4.3%","39.4%","21.5%","7.1%","13.9%","8.5%","90.4%","22.4%"
"    Females","","","","","","","","","",""
"        Estimate","44,060","2,167","3,521","14,473","10,893","3,007","7,205","2,794","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.9%","8.0%","32.8%","24.7%","6.8%","16.4%","6.3%","87.1%","22.7%"
"Tom Green County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","75,857","3,535","8,372","21,390","18,838","4,749","12,911","6,062","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.7%","11.0%","28.2%","24.8%","6.3%","17.0%","8.0%","84.3%","25.0%"
"    Males","","","","","","","","","",""
"        Estimate","36,383","2,017","4,050","10,410","8,891","2,165","5,507","3,343","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.5%","11.1%","28.6%","24.4%","6.0%","15.1%","9.2%","83.3%","24.3%"
"    Females","","","","","","","","","",""
"        Estimate","39,474","1,518","4,322","10,980","9,947","2,584","7,404","2,719","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.8%","10.9%","27.8%","25.2%","6.5%","18.8%","6.9%","85.2%","25.6%"
"Travis County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","816,263","50,474","40,876","136,023","159,615","43,958","247,133","138,184","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.2%","5.0%","16.7%","19.6%","5.4%","30.3%","16.9%","88.8%","47.2%"
"    Males","","","","","","","","","",""
"        Estimate","409,669","27,689","22,013","66,321","82,167","20,604","121,220","69,655","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","6.8%","5.4%","16.2%","20.1%","5.0%","29.6%","17.0%","87.9%","46.6%"
"    Females","","","","","","","","","",""
"        Estimate","406,594","22,785","18,863","69,702","77,448","23,354","125,913","68,529","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","5.6%","4.6%","17.1%","19.0%","5.7%","31.0%","16.9%","89.8%","47.8%"
"Victoria County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","60,364","3,993","5,441","18,853","16,106","4,418","7,895","3,658","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.6%","9.0%","31.2%","26.7%","7.3%","13.1%","6.1%","84.4%","19.1%"
"    Males","","","","","","","","","",""
"        Estimate","28,903","1,659","2,343","9,557","7,390","2,145","3,837","1,972","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.7%","8.1%","33.1%","25.6%","7.4%","13.3%","6.8%","86.2%","20.1%"
"    Females","","","","","","","","","",""
"        Estimate","31,461","2,334","3,098","9,296","8,716","2,273","4,058","1,686","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","7.4%","9.8%","29.5%","27.7%","7.2%","12.9%","5.4%","82.7%","18.3%"
"Walker County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","45,665","2,696","2,980","18,335","9,648","2,285","6,234","3,487","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.9%","6.5%","40.2%","21.1%","5.0%","13.7%","7.6%","87.6%","21.3%"
"    Males","","","","","","","","","",""
"        Estimate","28,364","1,760","2,287","13,408","5,304","1,252","2,949","1,404","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","6.2%","8.1%","47.3%","18.7%","4.4%","10.4%","4.9%","85.7%","15.3%"
"    Females","","","","","","","","","",""
"        Estimate","17,301","936","693","4,927","4,344","1,033","3,285","2,083","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","5.4%","4.0%","28.5%","25.1%","6.0%","19.0%","12.0%","90.6%","31.0%"
"Webb County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","148,275","27,050","21,876","42,525","21,581","9,708","18,263","7,272","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","18.2%","14.8%","28.7%","14.6%","6.5%","12.3%","4.9%","67.0%","17.2%"
"    Males","","","","","","","","","",""
"        Estimate","69,750","11,098","11,812","19,181","10,584","5,076","8,768","3,231","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","15.9%","16.9%","27.5%","15.2%","7.3%","12.6%","4.6%","67.2%","17.2%"
"    Females","","","","","","","","","",""
"        Estimate","78,525","15,952","10,064","23,344","10,997","4,632","9,495","4,041","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","20.3%","12.8%","29.7%","14.0%","5.9%","12.1%","5.1%","66.9%","17.2%"
"Wichita County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","84,259","4,741","7,364","24,748","20,952","6,404","13,547","6,503","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.6%","8.7%","29.4%","24.9%","7.6%","16.1%","7.7%","85.6%","23.8%"
"    Males","","","","","","","","","",""
"        Estimate","42,071","2,256","3,973","14,113","9,605","2,873","5,945","3,306","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.4%","9.4%","33.5%","22.8%","6.8%","14.1%","7.9%","85.2%","22.0%"
"    Females","","","","","","","","","",""
"        Estimate","42,188","2,485","3,391","10,635","11,347","3,531","7,602","3,197","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","5.9%","8.0%","25.2%","26.9%","8.4%","18.0%","7.6%","86.1%","25.6%"
"Williamson County, Texas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","347,601","9,460","11,878","70,903","83,528","30,761","97,016","44,055","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.7%","3.4%","20.4%","24.0%","8.8%","27.9%","12.7%","93.9%","40.6%"
"    Males","","","","","","","","","",""
"        Estimate","167,030","4,808","5,206","32,447","39,303","14,265","49,039","21,962","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.9%","3.1%","19.4%","23.5%","8.5%","29.4%","13.1%","94.0%","42.5%"
"    Females","","","","","","","","","",""
"        Estimate","180,571","4,652","6,672","38,456","44,225","16,496","47,977","22,093","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.6%","3.7%","21.3%","24.5%","9.1%","26.6%","12.2%","93.7%","38.8%"
"Cache County, Utah","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","62,058","2,500","2,911","11,587","16,574","4,562","17,162","6,762","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.0%","4.7%","18.7%","26.7%","7.4%","27.7%","10.9%","91.3%","38.6%"
"    Males","","","","","","","","","",""
"        Estimate","30,806","1,296","1,424","5,403","7,365","1,925","8,854","4,539","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.2%","4.6%","17.5%","23.9%","6.2%","28.7%","14.7%","91.2%","43.5%"
"    Females","","","","","","","","","",""
"        Estimate","31,252","1,204","1,487","6,184","9,209","2,637","8,308","2,223","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.9%","4.8%","19.8%","29.5%","8.4%","26.6%","7.1%","91.4%","33.7%"
"Davis County, Utah","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","198,180","1,897","6,085","42,164","51,306","22,080","49,888","24,760","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","1.0%","3.1%","21.3%","25.9%","11.1%","25.2%","12.5%","96.0%","37.7%"
"    Males","","","","","","","","","",""
"        Estimate","97,286","915","2,998","19,800","24,966","9,509","22,931","16,167","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","0.9%","3.1%","20.4%","25.7%","9.8%","23.6%","16.6%","96.0%","40.2%"
"    Females","","","","","","","","","",""
"        Estimate","100,894","982","3,087","22,364","26,340","12,571","26,957","8,593","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.0%","3.1%","22.2%","26.1%","12.5%","26.7%","8.5%","96.0%","35.2%"
"Salt Lake County, Utah","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","701,154","28,333","41,677","159,835","169,843","64,721","148,259","88,486","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.0%","5.9%","22.8%","24.2%","9.2%","21.1%","12.6%","90.0%","33.8%"
"    Males","","","","","","","","","",""
"        Estimate","347,164","14,586","21,852","76,699","82,869","29,497","71,610","50,051","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.2%","6.3%","22.1%","23.9%","8.5%","20.6%","14.4%","89.5%","35.0%"
"    Females","","","","","","","","","",""
"        Estimate","353,990","13,747","19,825","83,136","86,974","35,224","76,649","38,435","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.9%","5.6%","23.5%","24.6%","10.0%","21.7%","10.9%","90.5%","32.5%"
"Utah County, Utah","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","290,596","5,136","10,613","47,170","83,511","31,719","76,774","35,673","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","1.8%","3.7%","16.2%","28.7%","10.9%","26.4%","12.3%","94.6%","38.7%"
"    Males","","","","","","","","","",""
"        Estimate","145,510","2,738","6,358","22,263","39,578","13,634","36,805","24,134","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","1.9%","4.4%","15.3%","27.2%","9.4%","25.3%","16.6%","93.7%","41.9%"
"    Females","","","","","","","","","",""
"        Estimate","145,086","2,398","4,255","24,907","43,933","18,085","39,969","11,539","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.7%","2.9%","17.2%","30.3%","12.5%","27.5%","8.0%","95.4%","35.5%"
"Washington County, Utah","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","101,498","2,430","3,421","22,390","30,807","13,758","17,837","10,855","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.4%","3.4%","22.1%","30.4%","13.6%","17.6%","10.7%","94.2%","28.3%"
"    Males","","","","","","","","","",""
"        Estimate","49,490","572","2,088","11,119","15,828","5,774","7,383","6,726","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","1.2%","4.2%","22.5%","32.0%","11.7%","14.9%","13.6%","94.6%","28.5%"
"    Females","","","","","","","","","",""
"        Estimate","52,008","1,858","1,333","11,271","14,979","7,984","10,454","4,129","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.6%","2.6%","21.7%","28.8%","15.4%","20.1%","7.9%","93.9%","28.0%"
"Weber County, Utah","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","152,217","4,672","10,281","45,014","43,421","14,938","23,004","10,887","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.1%","6.8%","29.6%","28.5%","9.8%","15.1%","7.2%","90.2%","22.3%"
"    Males","","","","","","","","","",""
"        Estimate","75,499","2,560","6,118","22,269","19,911","6,289","11,493","6,859","(X)","(X)"
"    Percent Males","","","","","","","","","",""
